segment_id,dataset_index,audio_ref,whisper_ht,pre_correction,corrected,notes
diag_0021,47,data/diagnostic_audio/audio/c6463dda_vocals.mp3_segment_1514309_1517346.mp3,"Ga kon sé ka pa roulé, ga kon sé konsa","Ga kon sé ka pa roulé, ga kon sé konsa",,
diag_0022,34,data/diagnostic_audio/audio/e55a7ce6_vocals.mp3_segment_3996_7540.mp3,on sel biten ki toujou fè mwen plézi,on sel biten ki toujou fè an plézi,,
diag_0023,62,data/diagnostic_audio/audio/e55a7ce6_vocals.mp3_segment_164950_170704.mp3,"Pa di, pa di, kochon, sé on bèt ki malpwop","Pa di, pa di, kochon, sé on bèt ki malpwop",,
diag_0024,22,data/diagnostic_audio/audio/a815d665_vocals.mp3_segment_1542912_1545949.mp3,Ou lé moun ka vini fè karnaval à pwésan kon défoulman,Ou lé moun ka vini fè karnaval à pwésan kon défoulman,,
diag_0025,81,data/diagnostic_audio/audio/6f22458e_vocals.mp3_segment_1997625_2007362.mp3,"an ka soulé an pay en moin, an pa la pou fè démonstration ba baba, a on moman doné fo arété","an ka soulé an pay en moin, an pa la pou fè démonstration ba baba, a on moman doné fo arété",,
diag_0026,27,data/diagnostic_audio/audio/8c354db1_vocals.mp3_segment_56629_59076.mp3,"Ti campo, i chalviré mwen","Ti campo, i chalviré an",,
diag_0027,17,data/diagnostic_audio/audio/c5c201fc_vocals.mp3,"Men, ki pwoblèm aw!","Mé, ki pwoblèm aw!",,
diag_0028,24,data/diagnostic_audio/audio/09e14773_vocals.mp3,Fò fét tou lé papyé ki fo pou pé asuré padavwa a partir du moman ou tini on véikul an chemin ki pa ni asurans é bin Sé on kabrit ou tini. To ou tar la jandameri pé ramasé a ninpotkimoman,Fò fét tou lé papyé ki fo pou pé asuré padavwa a partir du moman ou tini on véikul an chemin ki pa ni asurans é bin Sé on kabrit ou tini. To ou tar la jandameri pé ramasé a ninpotkimoman,,
diag_0029,55,data/diagnostic_audio/audio/19cfc7e5_vocals.mp3,"Paskè soup a Kongo la, sé on migan a tout sa ki ka soti an jadin la.","Paskè soup a Kongo la, sé on migan a tout sa ki ka soti an jadin la.",,
diag_0030,26,data/diagnostic_audio/audio/Hommage_a_Mme_Lucette_MICHAUX_CHEVRY_12_9_2021.mp3_segment_580632_583872.mp3,èvè plis vwa ki té pé ni.,èvè plis vwa ki té pé ni.,,
diag_0031,51,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_30962_37965.mp3,"H la sonné Hèp! pas ke sé on H aspiré Hèp! A pa on mo de hèp. Sé pou H la la, pas ke i pa tèbè","H la sonné Hèp! pas ke sé on H aspiré Hèp! A pa on mo de hèp. Sé pou H la la, pas ke i pa tèbè",,
diag_0032,35,data/diagnostic_audio/audio/0a9b34f4_vocals.mp3_segment_2950_12720.mp3,"lari zabim téni on vyè madamn, vyè madamn la téni on kaz an pay, dèyè kaz la téni on pié piman, chalè a viè fanm la","lari zabim téni on vyè madamn, vyè madamn la téni on kaz an pay, dèyè kaz la téni on pié piman, chalè a viè fanm la",,
diag_0033,84,data/diagnostic_audio/audio/06e8a0ba_vocals.mp3_segment_786608_788684.mp3,yo ki vlé di ke si ou ka gadé,yo ki vlé di ke si ou ka gadé,,
diag_0034,4,data/diagnostic_audio/audio/9bf65209_vocals.mp3,bon kouraj nou ka kimbé rèd,bon kouraj nou ka kimbé rèd,,
diag_0035,23,data/diagnostic_audio/audio/37d4132d_vocals.mp3_segment_127707_130592.mp3,"Tou sa sé monté dosyé, monté dosyé, gadé ka ou pé fè.","Tou sa sé monté dosyé, monté dosyé, gadé ka ou pé fè.",,
diag_0036,5,data/diagnostic_audio/audio/fb62f8c4_vocals.mp3,"sé moun ki té complètman aout de sa, rapidman yo entré en diapazon","sé moun ki té complètman aout de sa, rapidman yo entré en diapazon",,
diag_0037,38,data/diagnostic_audio/audio/2abd3949_vocals.mp3_segment_1019736_1024005.mp3,"Non, non, non, non, sè tou lé jou, sè tou lé jou, sé tou lé jou.","Non, non, non, non, sè tou lé jou, sè tou lé jou, sé tou lé jou.",,
diag_0038,37,data/diagnostic_audio/audio/49d18597_vocals.mp3_segment_644402_650106.mp3,"Le ou di zyé ou pa méteye o pluriel, o sengilié ou ka di on zyé Le ou di zyé ou pa méteye o plirièl, o sengilié ou ka di on zyé.","Le ou di zyé ou pa méteyé o pluriel, o sengilié ou ka di on zyé Le ou di zyé ou pa méteyé o plirièl, o sengilié ou ka di on zyé.",,
diag_0039,19,data/diagnostic_audio/audio/Gwoup_50_50_an_repetisyon.mp3_segment_517064_519122.mp3,"Sa sé on biten, ki trè enpòtan","Sa sé on biten, ki trè enpòtan",,
diag_0040,50,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_852960_856724.mp3,"Montè an lè on pyé bwa, pou mwen vwè longè a bwa la","Montè an lè on pyé bwa, pou an vwè longè a bwa la",,
diag_0041,32,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_155365_160090.mp3,Le ou komanse rentré adan zekal. Gay on koko sek,Le ou komansé rentré adan zekal. Gay on koko sek,,
diag_0042,10,data/diagnostic_audio/audio/d6fc3092_vocals.mp3_segment_198885_202277.mp3,"ou té ka vin o swè la, o swè la!","ou té ka vin o swè la, o swè la!",,
diag_0043,83,data/diagnostic_audio/audio/9448e063_vocals.mp3_segment_354962_358742.mp3,"Ou ja ni abiti la di meni, a par tou selan, kavon lom ou nan gwa lom ki.","Ou ja ni abiti la di meni, a par tou selan, kavon lom ou adan gwa lom ki.",,
diag_0044,20,data/diagnostic_audio/audio/a4e4f5c3_vocals.mp3_segment_254202_257577.mp3,an té vlé yo krié oh! oh,an té vlé yo krié oh! oh,,
diag_0045,1,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_515241_517502.mp3,"woulo, bravo pou é tin bwa dèyè","woulo, bravo pou é tin bwa dèyè",,
diag_0046,25,data/diagnostic_audio/audio/3d0602e9_vocals.mp3_segment_176999_181116.mp3,Aka woupwan entélektiel asi niyaj.,Aka woupwan entélektiel asi niyaj.,,
diag_0047,36,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_601675_604037.mp3,"O Moul, Bastè é Jari.","O Moul, Bastè é Jari.",,
diag_0048,41,data/diagnostic_audio/audio/f2926fd0_vocals.mp3_segment_94800_115034.mp3,"O, m'si, m'si, m'si, m'si. O, m'anje la. O, m'anje la. Pase, ante ka passe. O, m'anje la. A, vitou ve m'an bo kli zi namre. O, m'anje la. Ma po an ode a vip na. O, m'anje la","O, m'si, m'si, m'si, m'si. O, m'anjé la. O, m'anjé la. Pasé, anté ka passé. O, m'anjé la. A, vitou ve m'an bo kli zi namré. O, m'anjé la. Ma po an odé a vip na. O, m'anjé la",,
diag_0049,58,data/diagnostic_audio/audio/f9a06b6d_vocals.mp3,an mété moin osi et an fè pin pou yo venn et sa kontinué jika présan,an mété moin osi et an fè pin pou yo venn et sa kontinué jika présan,,
diag_0050,2,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_604037_613977.mp3,"mèsi onpil. Bon, Benzo, kan nou kwa fe? Kan nou kwa fe? Bandou sa, porté manè nou en ritat. Nou tout kabakia dan bispo. Jan, Jan, Jan, Jan. Ok.","mèsi onpil. Bon, Benzo, kan nou kwa fe? Kan nou kwa fe? Bandou sa, porté manè nou en ritat. Nou tout kabakia dan bispo. Jan, Jan, Jan, Jan. Ok.",,
diag_0051,69,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_533989_536605.mp3,I ka fè parti de la kompani difé kako,I ka fè parti de la kompani difé kako,,
diag_0052,42,data/diagnostic_audio/audio/d305ac73_vocals.mp3,"E ni demoun ki koupe avè sé valè la sa, ki pa janmen te intégré se valè la sa. Donk certen etranjé. Pa tout, men certen étranjé. E adan se certen étranjé a pa tout se étranjé la ki ni menm valè la sa.","E ni demoun ki koupé èvè sé valè la sa, ki pa janmen té intégré sé valè la sa. Donk certen etranjé. Pa tout, mé certen étranjé. E adan sé certen étranjé a pa tout sé étranjé la ki ni menm valè la sa.",,
diag_0053,18,data/diagnostic_audio/audio/ef6067a2_vocals.mp3_segment_172797_176880.mp3,sa pé ké pi bel pou nou,sa pé ké pi bel pou nou,,
diag_0054,85,data/diagnostic_audio/audio/a815d665_vocals.mp3_segment_1262719_1265048.mp3,Sé mo kafa ki té kréé groupla,Sé mo kafa ki té kréé groupla,,
diag_0055,3,data/diagnostic_audio/audio/RUE_DE_LARTISANAT_VIEUX_HABITANTS.mp3_segment_206918_209382.mp3,yo ké vouè si yo pé dékoré plats aw,yo ké vouè si yo pé dékoré plats aw,,
diag_0056,74,data/diagnostic_audio/audio/9448e063_vocals.mp3_segment_462642_466979.mp3,"Me kou an di, si se menm mo la ou ma ke evè double ve ou ben eon.","Me kou an di, si sé menm mo la ou ma ke evè doublé ve ou ben eon.",,
diag_0057,65,data/diagnostic_audio/audio/2abd3949_vocals.mp3_segment_1168979_1171139.mp3,"Bien bonjou, bien bonjou, bien bonjou.","Bien bonjou, bien bonjou, bien bonjou.",,
diag_0058,45,data/diagnostic_audio/audio/415dc2bd_vocals.mp3_segment_1691159_1693504.mp3,"Omari mò, madanm la è ti moun la.","Omari mò, madanm la è ti moun la.",,
diag_0059,78,data/diagnostic_audio/audio/c7389f31_vocals.mp3_segment_891300_893545.mp3,Quatre du matin a sonner,Quatré du matin a sonner,,
diag_0060,79,data/diagnostic_audio/audio/de6411f1_vocals.mp3_segment_1937770_1941162.mp3,"ke mwen an mè dèpi 10 an é demi, men nou gwadloupéen fwami an nou.","ke an an mè dèpi 10 an é demi, mé nou gwadloupéen fwami an nou.",,
diag_0061,54,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_274317_279885.mp3,"pou moun qui té conèt., c'est Maxime C. qui gannyé le tour de la Gwadeloup","pou moun qui té conèt., c'est Maximé C. qui gannyé le tour de la Gwadeloup",,
diag_0062,9,data/diagnostic_audio/audio/a815d665_vocals.mp3_segment_769244_780128.mp3,"Fote ma ke mas a Saint-Jean. E mwen an komanse ka ma ke tout douceman, reminisan san mwen, souvenir danfan san mwen. E pi, anjou, an pran la desisyon","Foté ma ke mas a Saint-Jean. E an an komansé ka ma ke tout douceman, reminisan san an, souvenir danfan san an. E pi, anjou, an pran la desisyon",,
diag_0063,52,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_598266_601405.mp3,"E nou tini, bien entendu, Libri Général.","E nou tini, bien entendu, Libri Général.",,
diag_0064,59,data/diagnostic_audio/audio/2abd3949_vocals.mp3_segment_728237_734160.mp3,"É an ka di'ou sé moun la trè, trè kontan, men ni sa kika pléré lè yo vwè.","É an ka di'ou sé moun la trè, trè kontan, mé ni sa kika pléré lè yo vwè.",,
diag_0065,28,data/diagnostic_audio/audio/45d21370_vocals.mp3_segment_691889_715024.mp3,"Mwen, joka lese dott moun ganyi. Se kon moun lapre? Moun lapot ganyi dèfwa. La yopar, yopar dan kon. Moun zabi, se dèzem la. Se misye lo amon ki te ganyi en triko, en waseo y triko. Mwen la, misye a desabi e mwen a se plateau la. Ebe se yon te ganyi tiko la. La seman passe bou ka re te zabi. Men be, abimien, jokalese dott moun ganyi. Mwen si an pil.","An, joka lesé dott moun ganyi. Sé kon moun lapré? Moun lapot ganyi dèfwa. La yopar, yopar dan kon. Moun zabi, sé dèzem la. Sé misyé lo amon ki té ganyi en triko, en waseo y triko. An la, misyé a desabi é an a sé plateau la. Ebé sé yon té ganyi tiko la. La seman passé bou ka re té zabi. Mé be, abimien, jokalesé dott moun ganyi. An si an pil.",,
diag_0066,82,data/diagnostic_audio/audio/c9b84dcd_vocals.mp3_segment_331827_335219.mp3,"An komansé komandé avè négoss, é.","An komansé komandé èvè négoss, é.",,
diag_0067,48,data/diagnostic_audio/audio/8b338c3d_vocals.mp3_segment_312606_315964.mp3,"é mé ki moun ou yé mèm, ban nou, ban nou on nouvèl, baw","é mé ki moun ou yé mèm, ban nou, ban nou on nouvèl, baw",,
diag_0068,66,data/diagnostic_audio/audio/e55a7ce6_vocals.mp3_segment_239807_242760.mp3,"An téni, on gwo rat","An téni, on gwo rat",,
diag_0069,40,data/diagnostic_audio/audio/77f6a780_vocals.mp3_segment_640960_643390.mp3,"Deschanel fait, on pil","Deschanel fait, on pil",,
diag_0070,53,data/diagnostic_audio/audio/332a4e2f_vocals.mp3_segment_273726_279194.mp3,Benzo bien bonswa. Bien bonnswa. Aka pasew la parol. *,Benzo bien bonswa. Bien bonnswa. Aka pasew la parol. *,,
diag_0071,64,data/diagnostic_audio/audio/69c479d9_vocals.mp3_segment_163870_171194.mp3,"gran grèc a gramè kakrièsa lagliyaj ki vlé di an fransé ""agglutination.""","gran grèc a gramè kakrièsa lagliyaj ki vlé di an fransé "" agglutination. """,,
diag_0072,12,data/diagnostic_audio/audio/fbefc47b_vocals.mp3_segment_271971_278586.mp3,Ou ja palé ban mwen tròp ou ja fè mwen konprann nou pé fè on lo biten ansam,Ou ja palé ban an tròp ou ja fè an konprann nou pé fè on lo biten ansam,,
diag_0073,75,data/diagnostic_audio/audio/2abd3949_vocals.mp3_segment_493287_495599.mp3,"Ok, mèsi. Ok, bon kouraj.","Ok, mèsi. Ok, bon kouraj.",,
diag_0074,49,data/diagnostic_audio/audio/0a9b34f4_vocals.mp3_segment_13514_18154.mp3,Tchoué pié piman la chè. La la la la la la la,Tchoué pié piman la chè. La la la la la la la,,
diag_0075,8,data/diagnostic_audio/audio/22fc5ae0_vocals.mp3_segment_165_3507.mp3,"monté adan on pyé bwa, pou mwen vwé longè a bwa la","monté adan on pyé bwa, pou an vwé longè a bwa la",,
diag_0076,72,data/diagnostic_audio/audio/a815d665_vocals.mp3_segment_274840_278974.mp3,Mwen konèt ou frèch ou bel kon zépina ki pousè an kaka,An konèt ou frèch ou bel kon zépina ki pousè an kaka,,
diag_0077,44,data/diagnostic_audio/audio/8ddd593c_vocals.mp3_segment_631510_638294.mp3,"Alò, toujou adan, i adan tex la pa enkiété zòt biten. E gadé bien, an makè biten ni kat son.","Alò, toujou adan, i adan tex la pa enkiété zòt biten. E gadé bien, an makè biten ni kat son.",,
diag_0078,6,data/diagnostic_audio/audio/8c4444a1_vocals.mp3_segment_104200_107237.mp3,mwen lévé et tout moun té ka palé kréyòl,an lévé et tout moun té ka palé kréyòl,,
diag_0079,29,data/diagnostic_audio/audio/88e7be88_vocals.mp3,A pa kantité manjé la nou ka manjé a pa rempli yon zasiette avè di riz pwa rouge avè dombre,A pa kantité manjé la nou ka manjé a pa rempli yon zasietté èvè di riz pwa rougé èvè dombré,,
